Specimen_no,Field_no,Institution,Locality,Loc_known,Class,Subclass,Order,Suborder,Superfamily,Family,Subfamily,Genus,Species,Type_status,Original_ID,OTU,OTU2,Preservation,Taph_cat,Collected_by,Date_collected,Description,In_ex_situ,References
TMP2003.012.0104,DPP.DB.2003.5,TMP,BB190,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Pachycephalosauridae,,,,,,Pachycephalosauridae indet,Small ornithischians,IE,TERR,,2003,Skull element,ex situ,Evans et al. 2013
TMP1980.020.0067,,TMP,Q118,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Pachycephalosauridae,,,,,,Pachycephalosauridae indet,Small ornithischians,IE,TERR,,1980,Vertebra,,Evans et al. 2013
TMP1980.016.1549,,TMP,Q147,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Pachycephalosauridae,,,,,,Pachycephalosauridae indet,Small ornithischians,IE,TERR,,1980,Skull element,ex situ,Evans et al. 2013
TMP1980.016.1596,,TMP,Q157,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Pachycephalosauridae,,,,,,Pachycephalosauridae indet,Small ornithischians,IE,TERR,,1980,Vertebra,ex situ,Evans et al. 2013
TMP1981.027.0024,,TMP,Q157,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Pachycephalosauridae,,,,,,Pachycephalosauridae indet,Small ornithischians,IE,TERR,,1981,Skull element,,Evans et al. 2013
TMP1982.031.0048,,TMP,Q157,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Pachycephalosauridae,,,,,,Pachycephalosauridae indet,Small ornithischians,IE,TERR,,1982,Vertebra,ex situ,Evans et al. 2013
TMP1982.031.0102,,TMP,Q157,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Pachycephalosauridae,,,,,,Pachycephalosauridae indet,Small ornithischians,IE,TERR,,1982,Dorsal vertebra,ex situ,Evans et al. 2013
TMP1998.093.0102,DHT/1998/DPP-102,TMP,Q157,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Pachycephalosauridae,,,,,,Pachycephalosauridae indet,Small ornithischians,IE,TERR,D. Tanke,1998,Vertebra,,Evans et al. 2013
TMP2002.012.0063,DPP.RL.2002.03,TMP,Base of Lethbridge Coal Zone in northeast region of the Park,N,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Pachycephalosauridae,,Sphaerotholus,Sphaerotholus lyonsi,,,Sphaerotholus,Small ornithischians,IE,TERR,,2002,squamosal,,C. Brown et al. 2013A; Woodruff et al. 2023
TMP1986.036.0126,,TMP,BB009,Y,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Paraves,Avialae,Ornithurae,Palintropus,Palintropus species A,,Apatornis,Palintropus,Small theropods,IE,TERR,,1986,Coracoid,ex situ,Hope 2002; Longrich 2009; C. Brown et al. 2013A
TMP1983.036.0070,,TMP,BB031,Y,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Paraves,Avialae,Ornithurae,Palintropus,Palintropus species B,,,Palintropus,Small theropods,IE,TERR,,1983,Coracoid,ex situ,Hope 2002; Longrich 2009; C. Brown et al. 2013A
